sseqid	Category
-VFG038420-gb|WP_011704496-	Adherence
-VFG038421-gb|WP_043118352-	Adherence
-VFG038422-gb|WP_005316019-	Adherence
-VFG038423-gb|WP_005354940-	Adherence
-VFG038424-gb|WP_011704497-	Adherence
-VFG038425-gb|WP_016349296-	Adherence
-VFG038426-gb|WP_011899127-	Adherence
-VFG038427-gb|WP_005354939-	Adherence
-VFG038428-gb|WP_011707568-	Adherence
-VFG038429-gb|WP_016352167-	Adherence
-VFG038430-gb|WP_005314158-	Adherence
-VFG038431-gb|WP_011707569-	Adherence
-VFG038432-gb|WP_016352168-	Adherence
-VFG038433-gb|WP_005314160-	Adherence
-VFG038434-gb|WP_013723413-	Adherence
-VFG038435-gb|WP_011707570-	Adherence
-VFG038436-gb|WP_016352169-	Adherence
-VFG038437	Adherence
-VFG038438-gb|WP_005336136-	Adherence
-VFG038443-gb|WP_011706970-	Adherence
-VFG038444-gb|WP_075384315-	Adherence
-VFG038445-gb|WP_085941426-	Adherence
-VFG038446-gb|WP_085942002-	Adherence
-VFG038447-gb|WP_011706969-	Adherence
-VFG038448-gb|WP_016351632-	Adherence
-VFG038449-gb|WP_005317129-	Adherence
-VFG038450-gb|WP_005353997-	Adherence
-VFG038451-gb|WP_011706968-	Adherence
-VFG038452-gb|WP_016351631-	Adherence
-VFG038453-gb|WP_005317126-	Adherence
-VFG038454-gb|WP_005353996-	Adherence
-VFG038455-gb|WP_011706967-	Adherence
-VFG038456-gb|WP_016351630-	Adherence
-VFG038457-gb|WP_011898454-	Adherence
-VFG038458-gb|WP_005353995-	Adherence
-VFG038459-gb|WP_011706966-	Adherence
-VFG038460-gb|WP_043119325-	Adherence
-VFG038461-gb|WP_043144717-	Adherence
-VFG038462-gb|WP_005353994-	Adherence
-VFG038463-gb|WP_011707389-	Adherence
-VFG038464-gb|WP_011707389-	Adherence
-VFG038465-gb|WP_005320466-	Adherence
-VFG038466-gb|WP_005340354-	Adherence
-VFG038467-gb|WP_011707390-	Adherence
-VFG038468-gb|WP_016351972-	Adherence
-VFG038469-gb|WP_005320465-	Adherence
-VFG038470-gb|WP_005340356-	Adherence
-VFG038471-gb|WP_011706550-	Adherence
-VFG038472-gb|WP_011706550-	Adherence
-VFG038473-gb|WP_011898593-	Adherence
-VFG038474-gb|WP_005353124-	Adherence
-VFG038475-gb|WP_011704652-	Adherence
-VFG038476-gb|WP_016349433-	Adherence
-VFG038477-gb|WP_005313456-	Adherence
-VFG038478-gb|WP_013724124-	Adherence
-VFG038479-gb|WP_011704648-	Adherence
-VFG038480-gb|WP_016349429-	Adherence
-VFG038481-gb|WP_155602333-	Adherence
-VFG038482-gb|WP_005348939-	Adherence
-VFG038483-gb|WP_073531764-	Adherence
-VFG038484-gb|WP_005348941-	Adherence
-VFG038485-gb|WP_005313446-	Adherence
-VFG038486-gb|WP_013724122-	Adherence
-VFG038487-gb|WP_011704651-	Adherence
-VFG038488-gb|WP_016349432-	Adherence
-VFG038489-gb|WP_011898353-	Adherence
-VFG038490-gb|WP_005348943-	Adherence
-VFG038491-gb|WP_005348945-	Adherence
-VFG038492-gb|WP_011704647-	Adherence
-VFG038493-gb|WP_016349428-	Adherence
-VFG038494-gb|WP_005313436-	Adherence
-VFG038495-gb|WP_005348949-	Adherence
-VFG038496-gb|WP_011707416-	Adherence
-VFG038497-gb|WP_016351992-	Adherence
-VFG038498-gb|WP_005320404-	Adherence
-VFG038499-gb|WP_013724119-	Adherence
-VFG038500-gb|WP_011706495-	Adherence
-VFG038501-gb|WP_043119142-	Adherence
-VFG038502-gb|WP_011898842-	Adherence
-VFG038503-gb|WP_005352766-	Adherence
